00784,CREME FRAICHE CHZ,5#,JAR,"Dallas Mozz Co, Deep Ellum TX",DA,,,,,,,,,
07035,DUBLN KARST CHZ ,6#,WHEEL,"Veldhuizen Cheese, Dublin TX","AU,DA",,,,,,,,,
00811,GOAT CHEESE LOG ,10.5 OZ,LOG,"Cheesemakers, Cleveland TX","AU,DA",,,,,,,,,
00812,GOAT CHEESE LOG ,12/10.5 OZ,CASE,"Cheesemakers, Cleveland TX","AU,DA",,,,,,,,,
00804,GOAT CHEESE PLAIN ,2/5#,LOGS,"Cheesemakers, Cleveland TX","AU,DA,HO",,,,,,,,,
00807,GOAT CHEESE PLAIN  * NEW,5#,WHEEL,"Cheesemakers, Cleveland TX",DA,,,,,,,,,
13362,GOUDA CHEESE MIXED MILK ,10#,WHEEL,"Veldhuizen Cheese, Dublin TX",DA,,,,,,,,,
13362,GOUDA CHEESE MIXED MILK ,10#,WHEEL,"Veldhuizen Cheese, Dublin TX",DA,,,,,,,,,
10695,GOUDA SHEEP CHEESE,7-8#,WHEEL,"Veldhuizen Cheese, Dublin TX",DA,,,,,,,,,
22958,INDIGO RIDGE RIVER WHEY CHEESE,14#,WHEEL,"River Whey Cheese, Schertz TX","AU,DA",,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,
 , , , , ,,,,,,,,,,
,,,,,,,,,,,,,,
ITEM#,"TEXAS-MADE CHEESE, DAIRY & EGGS CONT",PACK,UOM,RANCH                                         ,AVAILABLE LOCATION,,,,,,,,,
26002,KAAS GOUDA CHEESE ,10-13#,WHEEL ,"Veldhuizen Chees, Dublin TX",DA,,,,,,,,,
08522,MILK 1% ,1 GAL,JUG,"Mill-King Creamery, McGregor TX",AU,,,,,,,,,
08512,MILK 1% LOCAL                                           ,4 / 1 GAL,EACH,"Mill-King Creamery, McGregor TX","AU,DA",,,,,,,,,
08733,MILK HALF & HALF *,9 / 1 OT,EACH,"Mill-King Creamery, McGregor TX",On Request,,,,,,,,,
08461,MILK WHOLE LOCAL   ,4 / 1 GAL,CASE,"Mill-King Creamery, McGregor TX","AU,DA,HO",,,,,,,,,
30200,OL'REDNECK ,3-4#,WHEEL,"Veldhuizen Cheese, Dublin TX","AU,DA,HO",,,,,,,,,
00895,PANELA TX LOCAL CHZ   ,6.5#,BLOCK,"Cheesemakers, Cleveland TX","AU,DA",,,,,,,,,
13374,PANELA TX LOCAL CHZ   ,4 / 6.5#,CASE,"Cheesemakers, Cleveland TX",DA,,,,,,,,,
13377,QUESADILLA CHEESE,4 / 5#,CASE ,"Cheesemakers, Cleveland TX",AU,,,,,,,,,
29298,QUESO ASIAN SMOKEHOUSE DIP,2 / 8#,CASE ,"Culinary Cowgirls, Austin TX","AU,DA,HO",,,,,,,,,
10442,QUESO FRESCO JAIMITO XDRY CHZ     ,2 / 5#,CASE,"Eagle Mountain Cheese, Granbury, TX","AU,DA,HO",,,,,,,,,
07567,REDNECK CHEDDAR CHZ,13-16#,WHEEL,"Velhuizen Cheese, Dublin TX","AU,DA,HO",,,,,,,,,
04292,TX GOLD CHEDDAR CHEESE ,13-16#,WHEEL ,"Veldhuizen Chees, Dublin TX","AU,DA",,,,,,,,,
04425,TX STAR VELDHUIZEN LOCAL CHZ *,10-13#,WHEEL,"Veldhuizen Cheese, Dublin TX",DA,,,,,,,,,
29269,WELSHMAN RIVER WHEY ,6#,WHEEL,"River Whey Cheese, Granbury TX",AU,,,,,,,,,
08467,WHOLE MILK  NEW,1 GAL,JUG,"Mill-King Creamery, McGregor TX",AU,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ITEM#,PROTEINS,PACK,UOM,RANCH                                         ,AVAILABLE LOCATION,,,,,,,,,
11743,BF RWR PURE PATTY FZN   ,10#,CASE,"Rosewood Ranches, Ennis TX","AU,DA,HO",,,,,,,,,
11747,BF RWR FRANK 4:1 FZN,10#,CASE,"Rosewood Ranches, Ennis TX",DA,,,,,,,,,
11746,BF RWR FRANK 6:1 FZN  ,10#,CASE,"Rosewood Ranches, Ennis TX",DA,,,,,,,,,
12043,BF RWG RIBEYE FZN  ,27#,CASE,"Rosewood Ranches, Ennis TX",DA,,,,,,,,,
12056,RWR FLANK STEAK REF ,16PC / 30#,CASE,"Rosewood Ranches, Ennis TX",DA,,,,,,,,,
12125,BF RWR SIRLOIN FLAP FZN  ,25#,CASE,"Rosewood Ranches, Ennis TX",DA,,,,,,,,,
07717,RWR INSIDE SKIRT REF,12 PC / 30#,CASE,"Rosewood Ranches, Ennis TX",DA,,,,,,,,,
12228,BF RWR COULOTTE REF 30# ,30#,CASE,"Rosewood Ranches, Ennis TX",DA,,,,,,,,,
22205,GROUND BEEF BLEND BULK FZN  ,12#,CASE ,"Rosewood Ranches, Ennis TX",HO,,,,,,,,,
23074,GROUND PORK FZN ,2 / 10#,CASE ,"Rosewood Ranches, Ennis TX","AU,DA,HO",,,,,,,,,
17168,PORK TOMAHAWK 2 PIECES ,22#,CASE ,"Pedersons Natural Farm, Hamilton TX","AU,DA",,,,,,,,,
17211,UNFRENCHED PORK RACK FZN ,2 / 22#,CASE ,"Pedersons Natural Farm, Hamilton TX","AU,DA",,,,,,,,,
22203,PURE WAGYU BLEND PATTY 4OZ FZN NEW,10#,CASE ,"Rosewood Ranches, Ennis TX",HO,,,,,,,,,
30650,PURE BLEND PATTY 6OZ FZN ,32 EA / 12#,CASE ,"Allen Brothers, Dallas TX",DA,,,,,,,,,
13544,PRIME 103 RIBS  ,1 / 28#,CASE ,"Rosewood Ranches, Ennis TX",DA,,,,,,,,,
ITEM#,DRY GOODS,PACK,UOM,ARTISAN,AVAILABLE LOCATION,,,,,,,,,
28418,AUSTIN MIX POPCORN ,12 / 3.4 OZ,CASE ,"Cornucopia Popcorn, Austin TX",AU,,,,,,,,,
01285,BLUE GRITS ,10#,BOX,"Homestead Gristmill, Waco TX","AU,DA,HO",,,,,,,,,
01284,BLUE GRITS ,6 / 10#,CASE,"Homestead Gristmill, Waco TX","AU,DA,HO",,,,,,,,,
01003,CORN MEAL YELLOW LOCAL HOMESTEAD     ,6 / 10#,CASE,"Homestead Gristmill, Waco TX","AU,DA",,,,,,,,,
17883,FLOUR SEMOLINA LOCAL,6 / 10#,CASE,"Homestead Gristmill, Waco TX",DA,,,,,,,,,
18761,GRAIN CORN BLUE LOCAL,60#,BAG,"Homestead Gristmill, Waco TX",DA,,,,,,,,,
01288,GRITS YELLOW HOMESTEAD LOCAL,6 / 10#,CASE ,"Homestead Gristmill, Waco TX","AU,DA,HO",,,,,,,,,
01288,GRITS YELLOW HSTD LOCAL  ,6 / 10#,CASE ,"Homestead Gristmill, Waco TX","AU,DA,HO",,,,,,,,,
01289,GRITS YELLOW LOCAL   ,10#,SPLIT,"Homestead Gristmill, Waco TX","AU,DA,HO",,,,,,,,,
16354,HONEY BEAR TX FARMLAND,12 OZ,JAR,"Kelley's Honey Farms, Arthur City TX","AU,DA",,,,,,,,,
08848,HONEY BEAR TX FARMLAND LOCAL ,12 / 12 OZ,CASE ,"Kelley's Honey Farms, Arthur City TX",DA,,,,,,,,,
 , , , , ,,,,,,,,,,
 , , , , ,,,,,,,,,,
 , , , , ,,,,,,,,,,
ITEM#,DRY GOODS (CON'T),PACK,UOM,ARTISAN,AVAILABLE LOCATION,,,,,,,,,
08853,HONEY TEXAS FARMLAND LOCAL ,4 / 1 GAL,CASE,"Kelley's Honey Farms, Arthur City TX","DA,HO",,,,,,,,,
08854,HONEY TEXAS FARMLAND LOCAL  ,1 GAL,Split,"Kelley's Honey Farms, Arthur City TX","AU,HO",,,,,,,,,
08664,NUT PECAN HALVES LOCAL,5#,CASE,"38 Pecans, Seguin TX","AU,DA,HO",,,,,,,,,
18180,NUT PECAN HONEY TOASTED LOCAL,12 / 7 OZ,CASE,"38 Pecans, Seguin TX","AU,HO",,,,,,,,,
08663,NUT PECAN PIECES MEDIUM LOCAL  ,5#,CASE,"38 Pecans, Seguin TX","AU,DA,HO",,,,,,,,,
04580,OATS STEEL CUT HOMESTEAD LOCAL,6/10#,CASE,"Homestead Gristmill, Waco TX","AU,DA",,,,,,,,,
04764,OATS STEEL CUT HOMESTEAD LOCAL  ,10#,BAG,"Homestead Gristmill, Waco TX",AU,,,,,,,,,
21114,OIL OLIVE ARBERQUINA LOCAL BIB,4 / 1 GAL,CASE ,"Texas Olive Ranch, Carizzo Springs TX","AU,DA,HO",,,,,,,,,
28915,OIL OLIVE ARBERQUINA LOCAL BIB,2.64 GAL,BOX,"Texas Olive Ranch, Carizzo Springs TX","AU,DA,HO",,,,,,,,,
08619,OIL OLIVE EXTRA VIRGIN LOCAL*,12 / 250ML,CASE,"Texas Olive Ranch, Carizzo Springs TX","AU,DA",,,,,,,,,
07881,OIL OLIVE LEMON LOCAL*,12 / 250ML,CASE,"Texas Olive Ranch, Carizzo Springs TX",On Request,,,,,,,,,
08282,OIL OLIVE RATTLESNAKE*,12 / 250ML,CASE,"Texas Olive Ranch, Carizzo Springs TX",On Request,,,,,,,,,
01280,ORANGE PECAN GRANOLA ,4 / 10#,CASE,"Homestead Gristmill, Waco TX","AU,DA,HO",,,,,,,,,
04005,ORANGE PECAN GRANOLA ,10#,SPLIT,"Homestead Gristmill, Waco TX","AU,HO",,,,,,,,,
30343,PANCAKE MIX BUTTERSCOTCH BLUE,4 / 10#,CASE ,"Homestead Gristmill, Waco TX","AU,HO",,,,,,,,,
05357,PANCAKE MIX GLUTEN FREE LOCAL   ,10#,SPLIT,"Homestead Gristmill, Waco TX","AU,DA",,,,,,,,,
06387,PANCAKE WAFFLE MIX LOCAL  ,6 / 10#,CASE,"Homestead Gristmill, Waco TX","AU,DA",,,,,,,,,
08386,PANCAKE WAFFLE MIX LOCAL  ,10#,BOX,"Homestead Gristmill, Waco TX","AU,DA",,,,,,,,,
11212,"PICKLE JALAPENO 3/16"" SLICED",4 / 1 GAL,CASE,"First Place Foods, Garland TX",DA,,,,,,,,,
02500,"PICKLES DILL 1/8"" KK CHIPS    ",5 GAL,JAR,"First Place Foods, Garland TX",DA,,,,,,,,,
11210,PICKLES DILL KOSHER SPEAR ,5 GAL,JAR,"First Place Foods, Garland TX","AU,DA,HO",,,,,,,,,
09160,PICKLES DILL SPEAR CHICAGO ,2 GAL,BUCKET,"First Place Foods, Garland TX",DA,,,,,,,,,
02498,PICKLES SWEET HORSERADISH,2 GAL,JAR,"First Place Foods, Garland TX","AU,DA",,,,,,,,,
11208,PICKLES SWEET RELISH LOCAL,4 / 1 GAL,GAL,"First Place Foods, Garland TX","DA,HO",,,,,,,,,
02747,POLENTA YELLOW,6 / 10#,CASE,"Homestead Gristmill, Waco TX","AU,DA",,,,,,,,,
02749,POLENTA YELLOW,10#,BOX,"Homestead Gristmill, Waco TX","AU,DA",,,,,,,,,
01194,SEMOLINA FLOUR ,6 / 10#,CASE,"Homestead Gristmill, Waco TX",AU,,,,,,,,,
01283,SORGHUM MAPLE GRANOLA ,4 / 10#,CASE,"Homestead Gristmill, Waco TX","AU,DA",,,,,,,,,
